"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Belize","BLZ","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","","","","","","0.0163345311989546","0.0286163971955931","0.020979020979021","0.0198452073824171","0.0474890181645495","0.0531971486328333","","","","","","","","","","","","0.00217528441843771","","0.0227012301904741","0.00222042121390428","0.00215940745859336","0.00100626905622025","0.0746558899920874","0.00725627970539504","0.00152647285549645","0.0043780441087944","0.0723616843169261","0.056369785794814","0.00280071838426556","0.0441982594384019","","","","0.00991726596003642","","0.0236754404087395","0.16770050790604","0.0359820329636455","0.0263247926136549","0.0111391018850811","0.112692532587779","0.0264373749562111","0.00944598585695722","0.144826112098706","0.410366492327309","0.895313374411598","1.76312020991056","4.06804106640469","1.96876630074819","0.503711011142707","0.710473024421264","0.929406507167855","0.105607761154086","0.294158460971378","",
"Belize","BLZ","Travel services (% of commercial service imports)","TM.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","20.2127659574468","17.7693761814745","15.3846153846154","14.8425787106447","15.8403869407497","15.0698602794411","12.3720930232558","12.8205128205128","20.1408450704225","24.878640776699","21.6881075731998","23.5490308028875","29.819259935002","20.4233409610984","22.5479744136461","36.5201751116131","35.0099689255242","37.8809073237828","36.2073997228178","35.9952634976672","30.6676130461748","28.2894291899345","28.6553934871686","26.8862151870299","25.3498604190916","26.5128011742128","23.7600868295163","20.8030598013955","20.8151479157743","20.5366312767194","22.8162993342064","22.8651815718821","26.1798046812527","23.3359631134691","21.6806461936616","19.8464685893099","13.2521311366468",
"Belize","BLZ","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","13000000","16000000","22000000","19000000","22000000","24000000","27000000","26000000","27000000","30000000","33000000","36000000","43000000","44000000","64000000","88000000","73000000","90000000","106000000","132000000","150000000","162000000","128000000","112000000","130000000","128000000","122000000","143000000","181000000","216000000","211000000","256000000","274000000","281000000","260000000","257000000","255000000","286000000","295000000","370000000","524000000","517000000","525000000","552000000","520000000","593000000","660000000","684000000","837000000","669000000","706000000","831000000","861000000","928000000","962000000","991000000","953000000","916000000","958000000","986000000","787000000",
"Belize","BLZ","Bound rate, simple mean, primary products (%)","TM.TAX.TCOM.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.49","","","81.89","","81.89","81.89","81.89","","","81.63","81.63","81.63","81.63","81.63","81.63","81.63","83.48","83.48","83.48","83.48","83.48","83.5","83.5","83.5",
"Belize","BLZ","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.09","","","52.08","","52.08","52.08","52.08","","","52.01","52.01","52.01","51.91","51.91","51.91","51.91","51.94","51.94","51.94","51.94","51.94","51.94","51.94","51.94",
"Belize","BLZ","Urban population","SP.URB.TOTL","49742","50873","52017","53189","54410","55693","57047","58450","59830","61111","62269","63402","64397","65278","66084","66860","67588","68295","69064","69997","71169","72580","74216","76042","77942","79852","81780","83744","85655","87433","89023","90352","91447","92583","94057","96082","98741","101931","105437","108931","112274","115752","119029","122178","125345","128597","131964","135398","138874","142366","145844","149359","152932","156543","160198","163882","167603","171357","175155","179038","183005",
"Belize","BLZ","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1819","1882","1949","2013","2075","2142","2226","2307","2378","2450","2521","2609","2695","2771","2838","2913","2953","2989","3030","3053","3073","3128","3173","3211","3241","3268","3336","3407","3483","3576","3675","3812","3963","4132","4311","4500","4523","4551","4590","4630","4678","4722","4758","4769","4763","4732","5054","5412","5807","6264","6792","7058","7331","7623","7935","8268","8594","8934","9299","9687","10090",
"Belize","BLZ","Population ages 35-39, female (% of female population)","SP.POP.3539.FE.5Y","5.01662911704753","5.01837007348029","5.0355474304286","5.04773010257525","5.03449203512615","4.9859943977591","4.92846651797857","4.83490566037736","4.72111076912554","4.60501123782569","4.49593495934959","4.35897435897436","4.21482303998999","4.05682010557582","3.87888533244338","3.67071363343763","3.62791661118262","3.58282352252437","3.54182039151005","3.51692860606406","3.52147187723155","3.52202290546365","3.555484481403","3.6197923409544","3.70249305389673","3.79991202776013","3.9286520659291","4.09623788933336","4.28881956098165","4.47534766118837","4.62885289625949","4.7515537781342","4.83029127019539","4.91728034923808","5.06310141191283","5.29103104525852","5.4451337947161","5.63459667815162","5.78622294542719","5.85186184110716","5.86103555548317","6.01517412346147","6.18007703994721","6.37360010160704","6.60699992723568","6.8657181725428","6.86637565426071","6.85056545521662","6.81852338292854","6.75526870222205","6.66327410836741","6.65814766141193","6.61328097277093","6.56096827892352","6.54197683685755","6.58107981038879","6.65161091163138","6.77263780049767","6.92192871594036","7.06737389707757","7.18953267287101",
"Belize","BLZ","Population ages 10-14, female (% of female population)","SP.POP.1014.FE.5Y","10.9044093981332","11.1702571810287","11.4970546414788","11.8465521671245","12.1846236621126","12.515406162465","12.8415746432392","13.1248239932413","13.3579562942444","13.5286772662948","13.6048780487805","13.6964484790572","13.7533038269655","13.7833387198547","13.8135040427178","13.8639799997006","13.8902451654904","13.9610104499019","13.999450207619","13.9935537237229","13.9822736246657","13.8486378501156","13.7221977904823","13.5962300302944","13.4509246803535","13.2532623038952","12.976672885646","12.7534857909219","12.5927761321785","12.5169021052053","12.5357596093868","12.5557935611856","12.7112928163037","12.9638318271761","13.2208199686242","13.3672764089135","13.1145222425465","12.7746615878326","12.4061729043095","12.0998600879929","11.9289216085476","11.9016603112195","11.9104986111324","11.9350910354205","11.952994251619","11.9615123001927","11.9832288585004","11.9715426692171","11.9185305706389","11.8225158649837","11.6863290243706","11.5999781978065","11.461167230489","11.2827152501618","11.0632549358746","10.8019757620678","10.5238644548788","10.2154616694698","9.89218455009284","9.58484214821237","9.3300310217152",
"Belize","BLZ","Survival to age 65, male (% of cohort)","SP.DYN.TO65.MA.ZS","55.4931386","56.4115068","57.329875","58.3436922","59.3575094","60.3713266","61.3851438","62.398961","63.2108742","64.0227874","64.8347006","65.6466138","66.458527","66.8976624","67.3367978","67.7759332","68.2150686","68.654204","69.1265422","69.5988804","70.0712186","70.5435568","71.015895","71.2744802","71.5330654","71.7916506","72.0502358","72.308821","71.660394","71.011967","70.36354","69.715113","69.066686","68.1634524","67.2602188","66.3569852","65.4537516","64.550518","64.7488514","64.9471848","65.1455182","65.3438516","65.542185","65.745683","65.949181","66.152679","66.356177","66.559675","67.1832836","67.8068922","68.4305008","69.0541094","69.677718","69.7993136","69.9209092","70.0425048","70.1641004","70.285696","70.5138886","70.7420812","",
"Belize","BLZ","Vitamin A supplementation coverage rate (% of children ages 6-59 months)","SN.ITK.VITA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6399998664856","8.98999977111816","9.9399995803833","11.6700000762939","8.85999965667725","10.6099996566772","9","","5.78999996185303","7.46999979019165","","","7.34000015258789","6.21000003814697","5.84999990463257","","","","","","5.82000017166138","4.75","5.44000005722046","4.40000009536743","4.59000015258789","","5.86999988555908","",
"Belize","BLZ","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","SL.UEM.1524.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5300006866455","","","","","","","","","","","","","","","","","","","16.8299999237061","18.1900005340576","16.3999996185303","16.2800006866455","15.3100004196167","","19.2999992370605","",
