"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Nicaragua","NIC","Imports of goods and services (constant LCU)","NE.IMP.GNFS.KN","6418859607.22413","6968365358.54885","9069587585.57563","10150206940.3534","12376624840.6121","14299088297.0963","14751470600.888","17318304571.4037","14728561083.3636","13575986483.4036","14464617627.9417","14361686133.7123","15121572243.1484","21367158457.2655","22184157025.8821","18847111529.5813","19205274409.1882","26080711020.5958","19687019615.7224","15989875224.2493","29037974796.809","27759881854.3561","20229426643.3072","23628424637.7021","23268003073.269","23402878824.3281","20045182495.3292","20746665468.5412","24761639082.0077","20248857099.4162","20215713277.6841","23825343400","26416980400","23876975500","26811774600","30664933500","34836391600","42589839100","45835164200","54750398300","52152753200","52516431800","52444323500","54274102800","58719236800","63768937800","66601000000","74689000000","82283000000","74766000000","83787000000","93424000000","99765000000","102110000000","105268000000","117902000000","122699000000","126749000000","107612000000","103459000000","104490000000",
"Nicaragua","NIC","Gross fixed capital formation (annual % growth)","NE.GDI.FTOT.KD.ZG","","9.65995440729488","27.8735383282806","10.2689155320734","37.5698752994653","17.1332886805097","13.8952424519668","-0.91374636007636","-14.6534252128089","16.4648143750492","1.13505063549242","3.29301075268826","-7.82368249837354","33.1815775542617","25.2166308927578","-5.80492243878719","4.71579420354983","32.6460554828467","-44.5661140315406","-64.9218020541551","152.22092829812","60.0916826066882","-19.2530333930742","4.69933923514549","2.19059918613999","1.11593304401742","-6.07697024006033","1.00680408747398","-12.0333084762617","-18.1384045889963","-8.10148429409753","-8.5039249915009","17.8578757546514","-5.68811167344198","15.744570629834","5.18474544574113","12.4800399414951","11.8907968002194","6.87889582698007","36.0912924161593","-11.072362758093","-5.42912321444967","-6.27677486227704","0.596156455957782","6.73081680501338","9.9355332172527","1.89410253208588","12.6127371367359","8.59185614777994","-24.5782587809771","7.43696377055936","22.0497977402706","20.6320180576588","5.33396494552345","3.32343946753014","16.9967355821545","1.4155505952381","2.05608847966839","-21.9941770604939","-25.0806377292415","10.2189556553294",
"Nicaragua","NIC","Gross national expenditure (current US$)","NE.DAB.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4296149702.38095","4555563519.25631","4876472258.44695","5183112911.59069","5429335368.21614","6058067341.23624","6147613711.58392","6344663316.91932","6270713445.61404","6418652151.74788","7003764689.26554","7766580023.06777","8439162924.64159","9420115456.54118","10863622050.4958","9878020600.30974","10460377217.134","11904451866.9479","12663557950.7957","13240571456.3075","13862297709.0709","15056352910.0995","15418468956.3607","15674938188.2073","14253609776.5044","13176859883.3997","13230932295.9283",
"Nicaragua","NIC","Households and NPISHs final consumption expenditure: linked series (current LCU)","NE.CON.PRVT.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22374189500","26058233100","30404511400","35199910500","41291151600","47901724800","55114185500","61487615200","66147685700","71676446900","80923092900","92607162100","96683000000","111719000000","132363000000","137282000000","150564000000","169235000000","187628999999.999","206061000000","226748000000","245126000000","267659000000","287414000000","289965000000","297312000000","302151000000",
"Nicaragua","NIC","Arms imports (SIPRI trend indicator values)","MS.MIL.MPRT.KD","2000000","8000000","6000000","8000000","0","0","2000000","","","","","5000000","5000000","10000000","","","8000000","19000000","13000000","","","41000000","67000000","47000000","165000000","87000000","88000000","151000000","63000000","14000000","102000000","1000000","","","","","","","","","","","","","","","","14000000","","14000000","","","","","13000000","15000000","86000000","7000000","","13000000","",
"Nicaragua","NIC","Fixed telephone subscriptions","IT.MLT.MAIN","","","","","","","","","","","17000","17000","17000","17000","17000","21947","25393","28421","30349","29317","30827","32998","35946","39548","41853","43364","44118","45921","45483","46169","46328","48305","54280","66810","85254","96611","111397","122817","141233","150258","164484","157753","171632","205004","214480","220869","247862","249000","254438","254686","258325","287618","299123","324971","339629","354017","366636","375856","325821","228782","210981",
"Nicaragua","NIC","Statistical performance indicators (SPI): Overall score (scale 0-100)","IQ.SPI.OVRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.18125","45.6275","49.5241666666667","51.6579166666667","",
"Nicaragua","NIC","IDA resource allocation index (1=low to 6=high)","IQ.CPA.IRAI.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.71666666666667","3.75","3.75","3.8","3.68333333333333","3.65833333333333","3.68333333333333","3.70833333333333","3.75833333333333","3.70834","3.70834","3.68334","3.61666666666667","3.50833333333333","3.441667","3.375",
"Nicaragua","NIC","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","64","49","33","39","","","","","","39","34","","35","","","","136","129","","","","","","","","","","","208","172","124","145","","","","","","",
"Nicaragua","NIC","Tax payments (number)","IC.TAX.PAYM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","66","66","66","66","66","43","43","43","43","43","43","43","43","43","",
"Nicaragua","NIC","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131","131","131","131","131","131","131","56","56","56","56","56","56","56","56","56","",
"Nicaragua","NIC","Firms with female participation in ownership (% of firms)","IC.FRM.FEMO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.4","","","","61.9","","","","","","35.8","","","","",
"Nicaragua","NIC","Time to obtain an electrical connection (days)","IC.ELC.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.7","","","","24.7","","","","","","31","","","","",
"Nicaragua","NIC","Human capital index (HCI), lower bound (scale 0-1)","HD.HCI.OVRL.LB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.514","0.499479383230209","","0.500067174434662",
"Nicaragua","NIC","Compensation of employees (current LCU)","GC.XPN.COMP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22450000","825870000","795970000","815250000","831720000","863680000","844650000","996200000","1346640000","1682390000","1885760000","2251000000","3443500600","3834418600","4177965600","4999000000","6117404600","7247290000","9050623600","10177916400","10661215400","11957115200","13629771200","15203820000","18305160000","20546940000","22737260000","25611800000","26796100000","27613500000","",
"Nicaragua","NIC","Taxes on exports (current LCU)","GC.TAX.EXPT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7000","360000","100000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Nicaragua","NIC","Net acquisition of financial assets (current LCU)","GC.AST.TOTL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nicaragua","NIC","Real interest rate (%)","FR.INR.RINR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","628.319666261163","-88.4298365265877","-97.6934771154966","-97.5200769699475","-6.35239913758369","-3.18962071978906","-50.158770114526","2.54403570562554","6.70255849793022","6.76106022185088","3.21969269518934","7.64279225174915","8.82136626301531","10.547728097578","14.5734071916722","9.70097533554037","4.07198285540005","2.03360826290627","3.43742788367198","3.07044688515891","-2.60753241315566","7.55226811789041","6.76710501155113","0.293302879391947","5.41225016073755","10.1918752963974","4.74730777501545","4.14888715819702","6.54767125662685","6.39479657309306","8.02346893324673","6.58274708929394","5.01876240190016",
"Nicaragua","NIC","Claims on central government (annual growth as % of broad money)","FM.AST.CGOV.ZG.M3","","-0.2019522046449","11.913357400722","-5.35900104058272","-5.37107198573657","-6.78650036683786","2.86988847583643","5.73977893194833","2.80263157894737","7.22873900293255","-1.34535367545076","1.7135272112948","-4.25621576064054","-9.56769983686787","-11.1514732168598","13.4702177255369","3.60134003350085","2.963841138115","28.3673040554738","-0.85212276600558","96.0218426337523","-42.4894720356385","24.4818146265154","126.170528847612","50.7677684298292","80.8467543360774","70.293259476175","121.393432802299","3135.66799631488","-64.2822384428224","3222.53666759349","894.980345990115","1251.31742309284","106.186556060458","71.5275547194053","-21.3303830728807","-81.9501956725709","39.2148260814888","18.021605686853","13.6590321776856","10.0193185283603","79.5430949449663","3.50019000634626","2.02079758342673","-7.19490955474431","-1.86808778144162","-10.0963391260039","-4.78753435807447","4.49937520801808","7.00382432989242","3.85322044893745","0.170811206501542","0.187157718351355","2.37628123012024","-5.95556217464037","-2.31568288204563","0.677764312382695","-4.14778927845072","1.99631934618676","1.68420619351964","-3.56231343100911",
"Nicaragua","NIC","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","82758.2114477601","","","","","71087.1463789928","","","","","61046.5059473445","","","","","52319.8949582647","","","","","45208.1528649147","","","","","39952.2005938094","","","","","35788.6353440498","","","","","32355.2331171761","","","","","29927.2472833647","","","","","27942.4250089355","","","","","26109.3550721852","","","","","24464.1880779214","","","",
"Nicaragua","NIC","Population in the largest city (% of urban population)","EN.URB.LCTY.UR.ZS","28.2968782727269","28.7634239778936","29.2545373398827","29.7303697986106","30.0620020456984","30.4061955548411","30.7681789503377","31.1467164380923","31.5418692893549","31.9438592453313","32.3572082404125","32.6782833253634","32.5877588856634","32.4928483120919","32.3974627272885","32.3025607323289","32.2099830155838","32.1196289330369","32.0426747011092","31.9833883314818","31.9488277075678","31.9346948960231","31.9443519519335","31.9834411560996","32.0587448450347","32.170173124331","32.3249346249777","32.5182672591571","32.7368028776046","32.9571796171879","33.1725093462859","33.3778395789943","33.5810096941542","33.792595437808","34.03600020727","34.155561083668","33.5868864315737","33.0618369242937","32.5769546851782","32.1246480993451","31.7011730835293","31.303436477171","30.9309055247264","30.5758650509041","30.2309145861632","29.9205294181844","29.9969757497782","30.0733746362074","30.1506031806283","30.2290600556564","29.9234150024782","29.62434003678","29.3315381994839","29.044474830755","28.7647579618086","28.4918626200096","28.2257994044745","27.9598097950192","27.6954210132247","27.4423850626265","27.2095489657692",
"Nicaragua","NIC","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","EN.CLC.GHGR.MT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-13.0567","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nicaragua","NIC","Methane emissions (% change from 1990)","EN.ATM.METH.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.8511112820118","-6.02792287019003","4.67293410460374","5.71947014306471","-3.66298006073441","-3.88226417604253","0.452286478588104","22.7213678340342","7.97279629856726","15.667694149583","15.2989642722781","17.3122210882728","23.6885043160518","20.0477644452112","25.6277657338951","24.2553173799809","27.1577660872439","28.8392907250094","30.1416928733702","32.2892222376957","33.6121144600726","34.9350066824496","","","","","","","","",
