"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Paraguay","PRY","Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100)","IQ.SPI.PIL3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.33125","67.5125","69.95","71.1875","73.125","68.36875","68.025","70.9375","69.29375","68.39375","64.7375","68.51875","70.6375","76.84375","76.43125","",
"Paraguay","PRY","CPIA equity of public resource use rating (1=low to 6=high)","IQ.CPA.PRES.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Paraguay","PRY","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","1492","2507","2154","1429","937","","","3850","4006","","","4550","3461","","","","","","","8004","6297","5858","5743","5749","6774","6426","7356","8506","7531","8962","","","","","","","","5374","","",
"Paraguay","PRY","Time required to build a warehouse (days)","IC.WRH.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","275","275","275","275","275","163","121","121","121","121","121","121","121","121","121","",
"Paraguay","PRY","Cost of business start-up procedures, male (% of GNI per capita)","IC.REG.COST.PC.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146.7","117.4","111.5","104.9","49.8","66.1","62.6","64","60.5","60.6","60.1","57.4","58","58.1","58.2","58.4","52.2","",
"Paraguay","PRY","Firms visited or required meetings with tax officials (% of firms)","IC.FRM.METG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.6","","","","35","","","","","","","31.3","","","",
"Paraguay","PRY","Time required to get electricity (days)","IC.ELC.TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67","67","67","67","67","67","67","67","67","67","67","",
"Paraguay","PRY","Human capital index (HCI), male (scale 0-1)","HD.HCI.OVRL.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.501344621181488","","","","","","","0.531","0.524946093559265","","0.525628864765167",
"Paraguay","PRY","Goods and services expense (% of expense)","GC.XPN.GSRV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9008004714433","13.9228467621287","11.0854772995892","10.4453048038704","12.7716430748297","12.7515752373149","13.8997726424289","12.1274703356672","10.1493848493513","12.9362078853541","11.430710522674","12.4405976389563","13.0891910046182","12.5425469858315","12.7184197079416","",
"Paraguay","PRY","Taxes on goods and services (% of revenue)","GC.TAX.GSRV.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.5665737010639","35.3009455610418","38.1765139035511","39.2712612522108","36.3965848492075","40.1802856997719","39.0588273392902","37.1360747699005","39.1176936786475","39.2494224135213","37.184323198858","35.5795348455608","36.8495277879292","37.5523951697273","35.439511380038","",
"Paraguay","PRY","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Paraguay","PRY","Claims on other sectors of the domestic economy (% of GDP)","FS.AST.DOMO.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Paraguay","PRY","Net foreign assets (current LCU)","FM.AST.NFRG.CN","-665080000","-629540000","-403340000","-178940000","153660000","317600000","-145900000","-2425180000.47502","-3599080000.47502","-4980780000.47502","-5195860000.91854","-5244029033.97432","-5015694125.02884","-2966318867.42884","787100252.571199","3416385832.9712","9664159755.6452","21640105672","41657768203.1469","60682311005.7824","79841894040.5328","84183523134.928","64338872330.1349","56943537754.1048","54414746912","53789375849.478","121987286230","115733024050","87683758000","561569964580.8","916382045210","1259108888911.8","1035899612500","1343510882243.6","2120974819425.42","2170072782286.86","2563125271794.96","2017107997738.56","2896725972661.48","4131056512531.75","4088611695839.84","4692850504872.37","5410505492825.63","7574475071125","8904309372224.58","9166915660304.48","9820467132023.95","12478285845061.7","15446781918290.8","18293556076908.8","19019688527490.5","21156334471195.7","19042707650234.5","22696029718953.8","25942998072879","29394447453955.6","35844843898353.5","40435873122584.2","40444025848578.1","44402248914181.5","67612368138395.9",
"Paraguay","PRY","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5103621832615","14.3147360800329","14.3147360800329","","",
"Paraguay","PRY","Pump price for diesel fuel (US$ per liter)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","","","0.28","","","0.24","","0.34","","0.34","","0.51","","0.77","","0.96","","1.01","","1.31","","1.16","","0.74","","","","",
