"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"St. Vincent and the Grenadines","VCT","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00333826442845954","0.000851880685542601","0.000215135786436285","0.00625371666186091","0.00589352466018761","0.000449806585375695","0.0113782396568354","0.0498613708180908","0.00437912042925473","0.0207179610452939","0.00629402817113413","0.091902519131778","0.000534745867844144","0.0338412348223066","0.000810516836802777","0.0127391389619651","0.277199254118841","0.565621807471137","1.18843103080656","0.15749679728252","0.137649222642018","0.00873872504578988","0.107159161686785","0.014600011345428","0.0458356554927313","0.0167920630560664","",
"St. Vincent and the Grenadines","VCT","Travel services (% of commercial service imports)","TM.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","39.3638170974155","38.7462235649547","36.8780487804878","39.1304347826087","37.3056994818653","41.9927095990281","37.0815450643776","41.2980570483671","16.1804131840404","16.546329723225","16.1790481326682","15.7659720632013","14.0687250996016","11.501525251384","10.7536517609105","11.1149110807113","12.166929370262","12.2454652859824","13.7520193861066","10.211122554068","10.1513936234209","15.7874882112543","19.0213548295856","21.2915605389126","18.9481590716457","20.6957929047793","20.6061543586154","20.6028663701373","19.5540936278927","19.5093850980242","17.8911748656475","16.5758830881639","17.2480419452575","16.3813321487497","16.8150818627639","16.6103809079811","16.5336743860936","19.4843106967912","15.959654388766","17.9534675662635","17.9788213257911","17.987050517287","10.9282201822235",
"St. Vincent and the Grenadines","VCT","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","8000000","7000000","7000000","7000000","9000000","9000000","9000000","9000000","10000000","12000000","15000000","18000000","18000000","19000000","25000000","25000000","24000000","30000000","36000000","47000000","57000000","58000000","65000000","70000000","77000000","79000000","87000000","99000000","122000000","127000000","136000000","140000000","132000000","134000000","130000000","136000000","132000000","188000000","193000000","201000000","163000000","186000000","174000000","201000000","226000000","240000000","271000000","327000000","373000000","333000000","338000000","332000000","356000000","370000000","361000000","334000000","335000000","330000000","354000000","335000000","310000000",
"St. Vincent and the Grenadines","VCT","Bound rate, simple mean, primary products (%)","TM.TAX.TCOM.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.91","","","92.41","92.41","92.41","92.41","92.41","","","92.41","92.41","","","92.58","92.58","93.04","93.04","","93.04","93.04","93.04","93.04","93.04","93.04",
"St. Vincent and the Grenadines","VCT","Bound rate, simple mean, manufactured products (%)","TM.TAX.MANF.BR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.87","","","53.91","53.91","53.91","53.91","53.91","","","53.91","53.91","","","53.81","53.81","53.9","53.9","","53.9","53.9","53.9","53.9","53.9","53.9",
"St. Vincent and the Grenadines","VCT","Urban population","SP.URB.TOTL","21006","21687","22351","22998","23646","24299","24968","25640","26330","27037","27768","28528","29314","30121","30948","31785","32631","33486","34343","35209","36073","36933","37786","38638","39487","40340","41201","42062","42911","43731","44510","45209","45666","46091","46488","46869","47233","47582","47932","48303","48705","49143","49631","50135","50631","51085","51490","51864","52228","52597","53005","53460","53951","54479","55041","55620","56236","56872","57527","58187","58837",
"St. Vincent and the Grenadines","VCT","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Vincent and the Grenadines","VCT","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1025","1054","1092","1133","1188","1252","1323","1400","1487","1576","1671","1758","1839","1922","2006","2091","2170","2246","2319","2389","2447","2500","2540","2571","2600","2617","2665","2703","2746","2789","2840","2892","2945","3001","3054","3105","3127","3141","3165","3196","3236","3270","3309","3357","3394","3404","3572","3731","3896","4082","4298","4390","4509","4647","4800","4970","5035","5116","5201","5290","5398",
"St. Vincent and the Grenadines","VCT","Population ages 35-39, female (% of female population)","SP.POP.3539.FE.5Y","4.42868766709287","4.35459499061312","4.31423924828334","4.283099723239","4.23253554711649","4.14043371808325","3.99410847340149","3.7937701396348","3.59335038363171","3.43960086254281","3.36023477622891","3.46840017445845","3.63804627249357","3.83432771996986","3.97087887710241","3.99896078979975","3.92483349191246","3.74756555780694","3.52405696313805","3.34717479043775","3.26193826993889","3.30101923519044","3.41852670069323","3.60213628271656","3.80498285025065","3.9846915803692","4.19142654258699","4.39632057202443","4.58841661560173","4.77116916805633","4.94263508512213","5.15551610636488","5.35212309513242","5.54311828155933","5.75794055005093","5.98980064904961","6.29040647989894","6.62247956656923","6.93682600097018","7.15780426740406","7.24101183465141","7.23096475161664","7.10033775588274","6.90586635369511","6.71851452174075","6.60154432970509","6.55187835420393","6.56941123729827","6.64206642066421","6.73553719008264","6.79860039881109","6.81433249275471","6.84707386791033","6.91448418285929","7.01323994831364","7.11991634611794","7.18032664905688","7.23719551727331","7.2723249681928","7.27759835584263","7.2502695097663",
